scrip_name,symbol,exchange,segment,datetime,side,quantity,price,amount
ADANI WILMAR LIMITED,AWL,NSE,EQ,2022-02-07 00:00:00,BUY,40,230.0,9200.0
BRIGHTCOM GROUP LIMITED,BCG,NSE,EQ,2021-12-22 00:00:00,BUY,20,185.85,3717.0
BRIGHTCOM GROUP LIMITED,BCG,NSE,EQ,2021-12-24 00:00:00,BUY,20,200.0,4000.0
BRIGHTCOM GROUP LIMITED,BCG,NSE,EQ,2022-01-06 00:00:00,BUY,10,150.0,1500.0
BRIGHTCOM GROUP LIMITED,BCG,NSE,EQ,2022-01-06 00:00:00,BUY,40,150.8,6032.0
BRIGHTCOM GROUP LIMITED,BCG,NSE,EQ,2022-01-06 00:00:00,BUY,5,154.6,773.0
BRIGHTCOM GROUP LIMITED,BCG,NSE,EQ,2022-01-25 00:00:00,BUY,5,170.9,854.5
BRIGHTCOM GROUP LIMITED,BCG,NSE,EQ,2022-02-11 00:00:00,BUY,2,158.05,316.1
BRIGHTCOM GROUP LIMITED,BCG,NSE,EQ,2022-03-16 00:00:00,BUY,68,0.0,0.0
CAPITAL TRADE LINKS LTD,CTL,NSE,EQ,2021-11-29 00:00:00,BUY,165,10.8,1782.0
DEEPAK NITRITE LTD,DEEPAKNTR,NSE,EQ,2024-06-21 00:00:00,BUY,1,2546.0,2546.0
FCS SOFTWARE SOLN. LTD.,FCSSOFT,NSE,EQ,2022-01-05 00:00:00,BUY,150,6.48,972.0
FCS SOFTWARE SOLN. LTD.,FCSSOFT,NSE,EQ,2022-01-31 00:00:00,BUY,150,6.75,1012.5
GITA RENEWABLE ENERGY LIMITED,GITARENEW,NSE,EQ,2022-01-03 00:00:00,BUY,5,266.4,1332.0
GRAVITA INDIA LIMITED,GRAVITA,NSE,EQ,2022-02-01 00:00:00,BUY,10,371.45,3714.5
ORIENT GREEN POWER CO LTD,GREENPOWER,NSE,EQ,2022-01-21 00:00:00,BUY,100,22.05,2205.0
ORIENT GREEN POWER CO LTD,GREENPOWER,NSE,EQ,2023-09-29 00:00:00,BUY,214,0.0,0.0
ORIENT GREEN POWER CO LTD - RE,GREENPOWER_RE,NSE,EQ,2024-08-27 00:00:00,BUY,61,0.0,0.0
HFCL LIMITED,HFCL,NSE,EQ,2021-12-15 00:00:00,BUY,10,82.55,825.5
HFCL LIMITED,HFCL,NSE,EQ,2021-12-21 00:00:00,BUY,15,76.95,1154.25
HFCL LIMITED,HFCL,NSE,EQ,2022-02-01 00:00:00,BUY,5,84.95,424.75
IDFC FIRST BANK LIMITED,IDFCFIRSTB,NSE,EQ,2024-06-21 00:00:00,BUY,23,83.5,1920.5
KNR CONSTRU LTD.,KNRCON,NSE,EQ,2024-06-21 00:00:00,BUY,8,353.0,2824.0
K.P. ENERGY LIMITED,KPEL,NSE,EQ,2021-12-27 00:00:00,BUY,20,118.55,2371.0
K.P. ENERGY LIMITED,KPEL,NSE,EQ,2021-12-27 00:00:00,BUY,20,118.55,2371.0
K.P. ENERGY LIMITED,KPEL,NSE,EQ,2021-12-31 00:00:00,BUY,10,114.15,1141.5
K.P. ENERGY LIMITED,KPEL,NSE,EQ,2021-12-31 00:00:00,BUY,10,114.15,1141.5
K.P. ENERGY LIMITED,KPEL,NSE,EQ,2024-02-12 00:00:00,BUY,120,0.0,0.0
KPIT TECHNOLOGIES LIMITED,KPITTECH,NSE,EQ,2021-12-31 00:00:00,BUY,10,612.3,6123.0
KPIT TECHNOLOGIES LIMITED,KPITTECH,NSE,EQ,2022-01-28 00:00:00,BUY,10,641.1,6411.0
LLOYDS ENGG WORK LIMITED,LLOYDSENGG,NSE,EQ,2021-11-29 00:00:00,BUY,100,12.5,1250.0
LLOYDS ENGG WORK LIMITED,LLOYDSENGG,NSE,EQ,2024-01-25 00:00:00,BUY,5,0.0,0.0
PRAKASH STEELAGE LTD,PRAKASHSTL,NSE,EQ,2023-11-23 00:00:00,SELL,20,5.5,110.0
PRAKASH STEELAGE LTD,PRAKASHSTL,NSE,EQ,2023-11-23 00:00:00,SELL,10,5.5,55.0
PRAKASH STEELAGE LTD,PRAKASHSTL,NSE,EQ,2023-11-23 00:00:00,SELL,10,5.5,55.0
PRAKASH STEELAGE LTD,PRAKASHSTL,NSE,EQ,2023-11-23 00:00:00,SELL,10,5.5,55.0
PRAKASH STEELAGE LTD,PRAKASHSTL,NSE,EQ,2023-11-23 00:00:00,SELL,10,5.5,55.0
RAGHUVIR SYNTHETICS LTD.,RAGHUSYN,NSE,EQ,2022-02-16 00:00:00,BUY,1,225.95,225.95
RATTANINDIA ENT LIMITED,RTNINDIA,NSE,EQ,2021-12-27 00:00:00,BUY,10,46.0,460.0
RATTANINDIA ENT LIMITED,RTNINDIA,NSE,EQ,2021-12-29 00:00:00,BUY,40,48.1,1924.0
RATTANINDIA ENT LIMITED,RTNINDIA,NSE,EQ,2022-01-04 00:00:00,BUY,20,51.6,1032.0
RATTANINDIA ENT LIMITED,RTNINDIA,NSE,EQ,2022-01-25 00:00:00,BUY,10,53.65,536.5
RATTANINDIA ENT LIMITED,RTNINDIA,NSE,EQ,2022-01-25 00:00:00,BUY,10,53.35,533.5
RATTANINDIA POWER LIMITED,RTNPOWER,NSE,EQ,2022-01-21 09:49:01,BUY,12,7.7,92.4
SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2021-12-21 00:00:00,BUY,50,7.3,365.0
SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2021-12-29 00:00:00,BUY,25,8.95,223.75
SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-01-04 00:00:00,BUY,5,10.2,51.0
SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-01-04 00:00:00,BUY,20,10.6,212.0
SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-01-04 00:00:00,BUY,80,10.2,816.0
SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-01-06 00:00:00,BUY,10,9.75,97.5
SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-01-06 00:00:00,BUY,10,9.6,96.0
SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-01-06 00:00:00,BUY,40,9.7,388.0
SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-01-06 00:00:00,BUY,10,9.6,96.0
SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-01-07 00:00:00,BUY,10,10.55,105.5
SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-01-25 00:00:00,BUY,40,10.8,432.0
SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-10-04 00:00:00,BUY,71,0.0,0.0
TATA MOTORS,TATAMOTORS,NSE,EQ,2022-01-24 15:27:53,BUY,2,477.05,954.1
TATA MOTORS,TATAMOTORS,NSE,EQ,2022-01-25 11:56:08,BUY,8,483.8,3870.4
TATA POWER CO LTD,TATAPOWER,NSE,EQ,2021-12-21 00:00:00,BUY,20,214.65,4293.0
TATA POWER CO LTD,TATAPOWER,NSE,EQ,2022-01-24 00:00:00,BUY,10,227.9,2279.0
TRIDENT LIMITED,TRIDENT,NSE,EQ,2021-12-10 00:00:00,BUY,50,56.0,2800.0
TRIDENT LIMITED,TRIDENT,NSE,EQ,2022-01-03 00:00:00,BUY,10,53.75,537.5
TRIDENT LIMITED,TRIDENT,NSE,EQ,2022-01-06 00:00:00,BUY,10,53.35,533.5
TRIDENT LIMITED,TRIDENT,NSE,EQ,2022-01-06 00:00:00,BUY,20,53.6,1072.0
TRIDENT LIMITED,TRIDENT,NSE,EQ,2022-01-21 00:00:00,BUY,10,64.9,649.0
TATA TELESERV(MAHARASTRA),TTML,NSE,EQ,2021-12-24 00:00:00,BUY,10,161.8,1618.0
TATA TELESERV(MAHARASTRA),TTML,NSE,EQ,2021-12-24 00:00:00,BUY,20,161.8,3236.0
VIKAS LIFECARE LIMITED,VIKASLIFE,NSE,EQ,2022-01-05 00:00:00,BUY,100,4.6,460.0
VIKAS LIFECARE LIMITED,VIKASLIFE,NSE,EQ,2022-01-31 00:00:00,BUY,300,6.41,1923.0
WIPRO LTD.,WIPRO,NSE,EQ,2022-01-24 09:50:01,BUY,5,588.25,2941.25
WIPRO LTD.,WIPRO,NSE,EQ,2022-01-24 14:30:26,BUY,5,572.75,2863.75
WIPRO LTD.,WIPRO,NSE,EQ,2022-06-07 14:35:19,BUY,5,467.0,2335.0
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-24 09:28:41,BUY,10,101.95,1019.5
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-24 14:30:28,BUY,10,93.1,931.0
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-24 15:26:07,BUY,10,90.95,909.5
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-25 11:54:40,BUY,20,99.05,1981.0
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-27 10:06:18,BUY,40,93.3,3732.0
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-27 14:20:07,BUY,5,91.15,455.75
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-27 14:21:01,BUY,3,91.0,273.0
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-02-16 09:25:10,BUY,2,84.85,169.7
