security_code,security_name,company_name,ex_date,purpose,record_date,bc_start_date,_bc_end_date,nd_start_date,nd_end_date,actual_payment_date
539982,ASYL,Advance Syntex Ltd,04 Jan 2017,bonus issue 3:20,05 Jan 2017,-,-,29 Dec 2016,04 Jan 2017,-
500228,JSWSTEEL,JSW STEEL LTD.,04 Jan 2017,stock  split from rs.10/- to rs.1/-,05 Jan 2017,-,-,29 Dec 2016,04 Jan 2017,-
530759,STERTOOLS,STERLING TOOLS LTD.-$,09 Jan 2017,stock  split from rs.10/- to rs.2/-,10 Jan 2017,-,-,03 Jan 2017,09 Jan 2017,-
531723,STAMPEDE,Stampede Capital Limited,10 Jan 2017,bonus issue 1:4,11 Jan 2017,-,-,09 Jan 2017,10 Jan 2017,-
533106,OIL,OIL INDIA LTD.,12 Jan 2017,bonus issue 1:3,13 Jan 2017,-,-,06 Jan 2017,12 Jan 2017,-
524764,NUTRA,Nutraplus India Limited,19 Jan 2017,bonus issue 1:10,20 Jan 2017,-,-,13 Jan 2017,19 Jan 2017,-
511736,USHDI,USHDEV INTERNATIONAL LTD.,30 Jan 2017,stock  split from rs.10/- to rs.1/-,31 Jan 2017,-,-,23 Jan 2017,30 Jan 2017,-
530201,KALLAM,Kallam Textiles Ltd-$,02 Feb 2017,stock  split from rs.10/- to rs.2/-,03 Feb 2017,-,-,27 Jan 2017,02 Feb 2017,-
539788,KDML,Khemani Distributors & Marketing Ltd,02 Feb 2017,stock  split from rs.10/- to rs.5/-,03 Feb 2017,-,-,27 Jan 2017,02 Feb 2017,-
539223,AMBITION,Ambition Mica Ltd,03 Feb 2017,bonus issue 1:2,06 Feb 2017,-,-,30 Jan 2017,03 Feb 2017,-
532783,DAAWAT,LT FOODS LTD.,07 Feb 2017,stock  split from rs.10/- to rs.1/-,08 Feb 2017,-,-,01 Feb 2017,07 Feb 2017,-
532767,GAYAPROJ,GAYATRI PROJECTS LTD.,10 Feb 2017,stock  split from rs.10/- to rs.2/-,13 Feb 2017,-,-,06 Feb 2017,10 Feb 2017,-
531109,ISHANCH,ISHAN DYES & CHEMICALS LTD.,14 Feb 2017,bonus issue 1:2,15 Feb 2017,-,-,08 Feb 2017,14 Feb 2017,-
512626,ORBTEXP,ORBIT EXPORTS LTD.,14 Feb 2017,bonus issue 1:1,15 Feb 2017,-,-,09 Feb 2017,14 Feb 2017,-
532456,COMPUAGE,COMPUAGE INFOCOM LTD.,16 Feb 2017,stock  split from rs.10/- to rs.2/-,17 Feb 2017,-,-,10 Feb 2017,16 Feb 2017,-
538608, DWITIYA,Dwitiya Trading Ltd,17 Feb 2017,stock  split from rs.10/- to rs.2/-,20 Feb 2017,-,-,13 Feb 2017,16 Feb 2017,-
534309,NBCC,NBCC (India) Ltd,17 Feb 2017,bonus issue 1:2,21 Feb 2017,-,-,14 Feb 2017,17 Feb 2017,-
524764,NUTRA,Nutraplus India Limited,27 Feb 2017,stock  split from rs.10/- to rs.5/-,28 Feb 2017,-,-,17 Feb 2017,27 Feb 2017,-
539017,ASHFL,Akme Star Housing Finance Ltd,07 Mar 2017,bonus issue 1:1,08 Mar 2017,-,-,01 Mar 2017,07 Mar 2017,-
539428,TEJNAKSH,Tejnaksh Healthcare Ltd,08 Mar 2017,bonus issue 1:1,09 Mar 2017,-,-,02 Mar 2017,08 Mar 2017,-
532155,GAIL,GAIL (INDIA) LTD.,09 Mar 2017,bonus issue 1:3,11 Mar 2017,-,-,06 Mar 2017,09 Mar 2017,-
537524,VIAANINDUS,Viaan Industries Ltd,09 Mar 2017,stock  split from rs.10/- to rs.1/-,10 Mar 2017,-,-,03 Mar 2017,09 Mar 2017,-
540023,MIENT,Millitoons Entertainment Ltd,10 Mar 2017,bonus issue 1:1,14 Mar 2017,-,-,06 Mar 2017,10 Mar 2017,-
539686,KPEL,K.P. Energy Ltd,15 Mar 2017,bonus issue 1.501     ,16 Mar 2017,-,-,08 Mar 2017,15 Mar 2017,-
532953,VGUARD,V-GUARD INDUSTRIES LTD.,15 Mar 2017,bonus issue 2:5,16 Mar 2017,-,-,08 Mar 2017,15 Mar 2017,-
500049,BEL,BHARAT ELECTRONICS LTD.,16 Mar 2017,stock  split from rs.10/- to rs.1/-,17 Mar 2017,-,-,09 Mar 2017,16 Mar 2017,-
536170,KUSHAL,Kushal Ltd,16 Mar 2017,bonus issue 1:1,17 Mar 2017,-,-,09 Mar 2017,16 Mar 2017,-
531768,POLYMED,POLY MEDICURE LTD.,24 Mar 2017,bonus issue 1:1,28 Mar 2017,-,-,21 Mar 2017,24 Mar 2017,-
540024,ASHARI,Ashari Agencies Ltd,31 Mar 2017,bonus issue 4:1,03 Apr 2017,-,-,24 Mar 2017,31 Mar 2017,-
531344,CONCOR,CONTAINER CORPORATION OF INDIA LTD.,05 Apr 2017,bonus issue 1:4,06 Apr 2017,-,-,29 Mar 2017,05 Apr 2017,-
534734,RMCHEM,Ram Minerals and Chemicals Ltd,18 Apr 2017,bonus issue 4:1,19 Apr 2017,-,-,11 Apr 2017,18 Apr 2017,-
540073,BLS,BLS International Services Ltd,26 Apr 2017,stock  split from rs.10/- to rs.1/-,27 Apr 2017,-,-,20 Apr 2017,26 Apr 2017,-
540361,DANUBE,Danube Industries Ltd,28 Apr 2017,stock  split from rs.10/- to rs.1/-,02 May 2017,-,-,24 Apr 2017,28 Apr 2017,-
539447,BEARDSELL,Beardsell Ltd,04 May 2017,bonus issue 1:5,05 May 2017,-,-,28 Apr 2017,04 May 2017,-
539447,BEARDSELL,Beardsell Ltd,04 May 2017,stock  split from rs.10/- to rs.2/-,05 May 2017,-,-,28 Apr 2017,04 May 2017,-
505850,MANCREDIT,MANGAL CREDIT AND FINCORP LTD.,17 May 2017,stock  split from rs.10/- to rs.1/-,18 May 2017,-,-,11 May 2017,17 May 2017,-
540025,ADVENZYMES,Advanced Enzyme Technologies Ltd,25 May 2017,stock  split from rs.10/- to rs.2/-,26 May 2017,-,-,19 May 2017,25 May 2017,-
509635,HINDCOMPOS,HINDUSTAN COMPOSITES LTD.,25 May 2017,bonus issue 1:2,26 May 2017,-,-,19 May 2017,25 May 2017,-
509635,HINDCOMPOS,HINDUSTAN COMPOSITES LTD.,25 May 2017,stock  split from rs.10/- to rs.5/-,26 May 2017,-,-,19 May 2017,25 May 2017,-
511766,MUTHTFN,MUTHOOT CAPITAL SERVICES LTD.,12 Jun 2017,bonus issue 1:10,13 Jun 2017,-,-,06 Jun 2017,12 Jun 2017,-
507685,WIPRO,WIPRO LTD.,13 Jun 2017,bonus issue 1:1,14 Jun 2017,-,-,07 Jun 2017,13 Jun 2017,-
532523,BIOCON,BIOCON LTD.,15 Jun 2017,bonus issue 2:1,17 Jun 2017,-,-,12 Jun 2017,15 Jun 2017,-
509945,THACKER,THACKER & CO.LTD.,16 Jun 2017,bonus issue 32:21,19 Jun 2017,-,-,12 Jun 2017,16 Jun 2017,-
532174,ICICIBANK,ICICI BANK LTD.,20 Jun 2017,bonus issue 1:10,-,22 Jun 2017,24 Jun 2017,15 Jun 2017,21 Jun 2017,-
532914,ARCOTECH,ARCOTECH LTD.,22 Jun 2017,stock  split from rs.10/- to rs.2/-,23 Jun 2017,-,-,16 Jun 2017,22 Jun 2017,-
532424,GODREJCP,GODREJ CONSUMER PRODUCTS LTD.,22 Jun 2017,bonus issue 1:1,24 Jun 2017,-,-,19 Jun 2017,22 Jun 2017,-
521248,KITEX,KITEX GARMENTS LTD.,22 Jun 2017,bonus issue 2:5,23 Jun 2017,-,-,16 Jun 2017,22 Jun 2017,-
532522,PETRONET,PETRONET LNG LTD.,03 Jul 2017,bonus issue 1:1,04 Jul 2017,-,-,27 Jun 2017,03 Jul 2017,-
523648,PLASTIBLEN,PLASTIBLENDS INDIA LTD.-$,03 Jul 2017,bonus issue 1:1,04 Jul 2017,-,-,27 Jun 2017,03 Jul 2017,-
519260,SANWARIA,Sanwaria Consumer Ltd-$,03 Jul 2017,bonus issue 1:1,04 Jul 2017,-,-,27 Jun 2017,03 Jul 2017,-
517334,MOTHERSUMI,MOTHERSON SUMI SYSTEMS LTD.,05 Jul 2017,bonus issue 1:2,-,07 Jul 2017,07 Jul 2017,30 Jun 2017,06 Jul 2017,-
534809,PCJEWELLER,PC JEWELLER LTD.,06 Jul 2017,bonus issue 1:1,07 Jul 2017,-,-,30 Jun 2017,06 Jul 2017,-
512297,SHANTAI,Shantai Industries Ltd,07 Jul 2017,bonus issue 2:1,10 Jul 2017,-,-,03 Jul 2017,07 Jul 2017,-
532906,MAANALU,MAAN ALUMINIUM LTD.,10 Jul 2017,bonus issue 1:1,11 Jul 2017,-,-,04 Jul 2017,10 Jul 2017,-
533088,MHRIL,MAHINDRA HOLIDAYS & RESORTS INDIA LTD.,10 Jul 2017,bonus issue 1:2,11 Jul 2017,-,-,04 Jul 2017,10 Jul 2017,-
500104,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,11 Jul 2017,bonus issue 1:2,12 Jul 2017,-,-,05 Jul 2017,11 Jul 2017,-
520059,MUNJALAU,MUNJAL AUTO INDUSTRIES LTD.,11 Jul 2017,bonus issue 1:1,12 Jul 2017,-,-,05 Jul 2017,11 Jul 2017,-
534532,LYPSAGEMS,Lypsa Gems & Jewellery Ltd,12 Jul 2017,bonus issue 2:5,13 Jul 2017,-,-,06 Jul 2017,12 Jul 2017,-
500547,BPCL,BHARAT PETROLEUM CORPORATION LTD.,13 Jul 2017,bonus issue 1:2,15 Jul 2017,-,-,10 Jul 2017,13 Jul 2017,-
532210,CUB,CITY UNION BANK LTD.,13 Jul 2017,bonus issue 1:10,15 Jul 2017,-,-,10 Jul 2017,13 Jul 2017,-
533761,GPTINFRA,GPT INFRAPROJECTS LTD.,13 Jul 2017,bonus issue 1:1,-,15 Jul 2017,17 Jul 2017,10 Jul 2017,13 Jul 2017,-
500510,LT,LARSEN & TOUBRO LTD.,13 Jul 2017,bonus issue 1:2,14 Jul 2017,-,-,07 Jul 2017,13 Jul 2017,-
532504,NAVINFLUOR,Navin Fluorine International Limited-$,19 Jul 2017,stock  split from rs.10/- to rs.2/-,20 Jul 2017,-,-,13 Jul 2017,19 Jul 2017,-
512179,SUNTECK,SUNTECK REALTY LTD.,25 Jul 2017,stock  split from rs.2/- to rs.1/-,26 Jul 2017,-,-,19 Jul 2017,25 Jul 2017,-
538557,SAIBABA,Sai Baba Investment And Commercial Enterprises Ltd,27 Jul 2017,stock  split from rs.10/- to rs.1/-,28 Jul 2017,-,-,21 Jul 2017,27 Jul 2017,-
524330,JAYAGROGN,JAYANT AGRO-ORGANICS LTD.,01 Aug 2017,bonus issue 1:1,02 Aug 2017,-,-,26 Jul 2017,01 Aug 2017,-
531556,CORALFINAC,CORAL INDIA FINANCE & HOUSING LTD.,03 Aug 2017,stock  split from rs.10/- to rs.2/-,04 Aug 2017,-,-,28 Jul 2017,03 Aug 2017,-
537820,VFL,Viji Finance Ltd,04 Aug 2017,bonus issue 1:10,07 Aug 2017,-,-,31 Jul 2017,04 Aug 2017,-
538734,CEINSYSTECH,Ceinsys Tech Ltd,10 Aug 2017,bonus issue 1:10,11 Aug 2017,-,-,04 Aug 2017,10 Aug 2017,-
532610,DWARKESH,DWARIKESH SUGAR INDUSTRIES LTD.,10 Aug 2017,stock  split from rs.10/- to rs.1/-,-,12 Aug 2017,19 Aug 2017,07 Aug 2017,10 Aug 2017,-
590130,OKANCOTEA,KANCO TEA & INDUSTRIES LTD.,22 Aug 2017,bonus issue 2:1,23 Aug 2017,-,-,14 Aug 2017,22 Aug 2017,-
531626,OROSMITHS,OROSIL SMITHS INDIA LTD.-$,24 Aug 2017,stock  split from rs.5/- to rs.1/-,28 Aug 2017,-,-,18 Aug 2017,24 Aug 2017,-
539090,RAJPUTANA,Rajputana Investment and Finance Ltd,28 Aug 2017,bonus issue 9:5,29 Aug 2017,-,-,21 Aug 2017,28 Aug 2017,-
539275,MSL,Mangalam Seeds Ltd,30 Aug 2017,bonus issue 1:1,31 Aug 2017,-,-,23 Aug 2017,30 Aug 2017,-
539807,INFIBEAM,Infibeam Incorporation Ltd,31 Aug 2017,stock  split from rs.10/- to rs.1/-,01 Sep 2017,-,-,24 Aug 2017,31 Aug 2017,-
500325,RELIANCE,RELIANCE INDUSTRIES LTD.,07 Sep 2017,bonus issue 1:1,09 Sep 2017,-,-,04 Sep 2017,07 Sep 2017,-
502137,DECCANCE,DECCAN CEMENTS LTD.-$,11 Sep 2017,stock  split from rs.10/- to rs.5/-,12 Sep 2017,-,-,05 Sep 2017,11 Sep 2017,-
502219,BOROSIL,BOROSIL GLASS WORKS LTD.,14 Sep 2017,stock  split from rs.10/- to rs.1/-,15 Sep 2017,-,-,08 Sep 2017,14 Sep 2017,-
505355,NESCO,NESCO LTD.,15 Sep 2017,stock  split from rs.10/- to rs.2/-,18 Sep 2017,-,-,11 Sep 2017,15 Sep 2017,-
500408,TATAELXSI,TATA ELXSI LTD.,18 Sep 2017,bonus issue 1:1,19 Sep 2017,-,-,12 Sep 2017,18 Sep 2017,-
532648,YESBANK,YES BANK LTD.,21 Sep 2017,stock  split from rs.10/- to rs.2/-,22 Sep 2017,-,-,15 Sep 2017,21 Sep 2017,-
523025,SAFARIND,SAFARI INDUSTRIES (INDIA) LTD.,22 Sep 2017,stock  split from rs.10/- to rs.2/-,25 Sep 2017,-,-,18 Sep 2017,22 Sep 2017,-
532782,SUTLEJTEX,SUTLEJ TEXTILES & INDUSTRIES LTD.,26 Sep 2017,stock  split from rs.10/- to rs.1/-,27 Sep 2017,-,-,20 Sep 2017,26 Sep 2017,-
504000,ELPROINTL,ELPRO INTERNATIONAL LTD.,27 Sep 2017,stock  split from rs.2/- to rs.1/-,28 Sep 2017,-,-,21 Sep 2017,27 Sep 2017,-
539227,LOYAL,Loyal Equipments Ltd,27 Sep 2017,bonus issue 1:2,28 Sep 2017,-,-,21 Sep 2017,27 Sep 2017,-
539207,MANPASAND,Manpasand Beverages Ltd,27 Sep 2017,bonus issue 1:1,28 Sep 2017,-,-,21 Sep 2017,27 Sep 2017,-
533286,MOIL,MOIL LTD.,27 Sep 2017,bonus issue 1:1,28 Sep 2017,-,-,21 Sep 2017,27 Sep 2017,-
500049,BEL,BHARAT ELECTRONICS LTD.,28 Sep 2017,bonus issue 1:10,29 Sep 2017,-,-,22 Sep 2017,28 Sep 2017,-
500493,BHARATFORG,BHARAT FORGE LTD.,28 Sep 2017,bonus issue 1:1,30 Sep 2017,-,-,25 Sep 2017,28 Sep 2017,-
500103,BHEL,BHARAT HEAVY ELECTRICALS LTD.,28 Sep 2017,bonus issue 1:2,30 Sep 2017,-,-,25 Sep 2017,28 Sep 2017,-
532928,TRIL,TRANSFORMERS AND RECTIFIERS (INDIA) LTD.,28 Sep 2017,stock  split from rs.10/- to rs.1/-,30 Sep 2017,-,-,25 Sep 2017,28 Sep 2017,-
524820,PANAMAPET,PANAMA PETROCHEM LTD.,03 Oct 2017,bonus issue 1:2,04 Oct 2017,-,-,26 Sep 2017,03 Oct 2017,-
520051,JAMNAAUTO,JAMNA AUTO INDUSTRIES LTD.,05 Oct 2017,stock  split from rs.5/- to rs.1/-,06 Oct 2017,-,-,28 Sep 2017,05 Oct 2017,-
513097,SHBCL,SHIVALIK BIMETAL CONTROLS LTD.,05 Oct 2017,bonus issue 1:1,06 Oct 2017,-,-,28 Sep 2017,05 Oct 2017,-
519552,HERITGFOOD,Heritage Foods Limited,10 Oct 2017,stock  split from rs.10/- to rs.5/-,11 Oct 2017,-,-,04 Oct 2017,10 Oct 2017,-
539229,MRSS,Majestic Research Services and Solutions Ltd,10 Oct 2017,bonus issue 1:1,11 Oct 2017,-,-,04 Oct 2017,10 Oct 2017,-
511463,ALEXANDER,Alexander Stamps And Coin Ltd,11 Oct 2017,bonus issue 1:5,12 Oct 2017,-,-,05 Oct 2017,11 Oct 2017,-
539997,KPL,Kwality Pharmaceuticals Ltd,11 Oct 2017,bonus issue 1:1,12 Oct 2017,-,-,09 Oct 2017,11 Oct 2017,-
511196,CANFINHOME,CAN FIN HOMES LTD.,12 Oct 2017,stock  split from rs.10/- to rs.2/-,13 Oct 2017,-,-,06 Oct 2017,12 Oct 2017,-
530201,KALLAM,Kallam Textiles Ltd-$,12 Oct 2017,bonus issue 1:4,13 Oct 2017,-,-,06 Oct 2017,12 Oct 2017,-
538987,TALBROSENG,Talbros Engineering Ltd,12 Oct 2017,bonus issue 1:1,14 Oct 2017,-,-,09 Oct 2017,12 Oct 2017,-
532486,POKARNA,POKARNA LTD.,18 Oct 2017,stock  split from rs.10/- to rs.2/-,23 Oct 2017,-,-,13 Oct 2017,19 Oct 2017,-
512277,AUTOINT,AUTORIDERS INTERNATIONAL LTD.,19 Oct 2017,bonus issue 1:1,31 Oct 2017,-,-,19 Oct 2017,03 Nov 2017,-
538598,VISHAL,Vishal Fabrics Ltd,24 Oct 2017,stock  split from rs.10/- to rs.5/-,25 Oct 2017,-,-,16 Oct 2017,24 Oct 2017,-
503811,SIYSIL,SIYARAM SILK MILLS LTD.-$,25 Oct 2017,stock  split from rs.10/- to rs.2/-,26 Oct 2017,-,-,17 Oct 2017,25 Oct 2017,-
531591,BAMPSL,BAMPSL SECURITIES LTD.,26 Oct 2017,bonus issue 3:20,27 Oct 2017,-,-,18 Oct 2017,26 Oct 2017,-
505029,ATLASCYCLE,ATLAS CYCLES (HARYANA) LTD.,30 Oct 2017,stock  split from rs.10/- to rs.5/-,31 Oct 2017,-,-,24 Oct 2017,30 Oct 2017,-
539151,ARFIN,Arfin India Ltd,01 Nov 2017,bonus issue 2:1,02 Nov 2017,-,-,26 Oct 2017,01 Nov 2017,-
533154,INFINITE,Infinite Computer Solutions (India) Ltd,01 Nov 2017,bonus issue 1:26,02 Nov 2017,-,-,26 Oct 2017,01 Nov 2017,-
512453,SHRJAGP,SHRI JAGDAMBA POLYMERS LTD.,01 Nov 2017,stock  split from rs.10/- to rs.1/-,02 Nov 2017,-,-,26 Oct 2017,01 Nov 2017,-
532514,IGL,INDRAPRASTHA GAS LTD.,09 Nov 2017,stock  split from rs.10/- to rs.2/-,10 Nov 2017,-,-,03 Nov 2017,09 Nov 2017,-
539228,GGPL,Gala Global Products Ltd,10 Nov 2017,bonus issue 1:20,13 Nov 2017,-,-,06 Nov 2017,10 Nov 2017,-
535910,MMLF,Money Masters Leasing & Finance Ltd,13 Nov 2017,bonus issue 1:4,14 Nov 2017,-,-,07 Nov 2017,13 Nov 2017,-
530621,AAIL,Akar Auto Industries Ltd,29 Nov 2017,stock  split from rs.10/- to rs.5/-,01 Dec 2017,-,-,24 Nov 2017,29 Nov 2017,-
531963,UNICRSE,UNIVERSAL CREDIT & SECURITIES LTD.,04 Dec 2017,stock  split from rs.5/- to rs.1/-,05 Dec 2017,-,-,27 Nov 2017,04 Dec 2017,-
539363,SKC,Sri Krishna Constructions (India) Ltd,06 Dec 2017,bonus issue 1:10,07 Dec 2017,-,-,29 Nov 2017,06 Dec 2017,-
539773,ADVIKCA,Advik Capital Ltd,14 Dec 2017,stock  split from rs.10/- to rs.1/-,15 Dec 2017,-,-,08 Dec 2017,14 Dec 2017,-
502355,BALKRISIND,BALKRISHNA INDUSTRIES LTD.-$,21 Dec 2017,bonus issue 1:1,23 Dec 2017,-,-,18 Dec 2017,21 Dec 2017,-
500870,CASTROLIND,CASTROL INDIA LTD.,21 Dec 2017,bonus issue 1:1,23 Dec 2017,-,-,18 Dec 2017,21 Dec 2017,-
500520,M&M,MAHINDRA & MAHINDRA LTD.,21 Dec 2017,bonus issue 1:1,23 Dec 2017,-,-,18 Dec 2017,21 Dec 2017,-
511431,VAKRANG,Vakrangee Limited-$,21 Dec 2017,bonus issue 1:1,23 Dec 2017,-,-,18 Dec 2017,21 Dec 2017,-
513291,PREMPIPES,PREMIER PIPES LTD.,22 Dec 2017,stock  split from rs.10/- to rs.5/-,26 Dec 2017,-,-,18 Dec 2017,22 Dec 2017,-
531543,JINDWORLD,JINDAL WORLDWIDE LTD.,26 Dec 2017,stock  split from rs.10/- to rs.5/-,27 Dec 2017,-,-,19 Dec 2017,26 Dec 2017,-
539841,LANCER,Lancer Container Lines Ltd,03 Jan 2018,bonus issue 3:5,04 Jan 2018,-,-,28 Dec 2017,03 Jan 2018,-
530883,SUCROSA,SUPER CROP SAFE LTD.,04 Jan 2018,stock  split from rs.10/- to rs.2/-,05 Jan 2018,-,-,29 Dec 2017,04 Jan 2018,-
533321,BILENERGY,BIL ENERGY SYSTEMS LTD.,11 Jan 2018,bonus issue 1:1,13 Jan 2018,-,-,08 Jan 2018,11 Jan 2018,-
536128,VKJINFRA,VKJ Infradevelopers Ltd,11 Jan 2018,bonus issue 1:3,13 Jan 2018,-,-,08 Jan 2018,11 Jan 2018,-
507910,FIBERWEB,FIBERWEB (INDIA) LTD.,17 Jan 2018,bonus issue 1:1,18 Jan 2018,-,-,11 Jan 2018,17 Jan 2018,-
505729,SINGER,SINGER INDIA LTD.,17 Jan 2018,stock  split from rs.10/- to rs.2/-,18 Jan 2018,-,-,11 Jan 2018,17 Jan 2018,-
533090,EXCEL,Excel Realty N Infra Ltd,23 Jan 2018,bonus issue 2:1,24 Jan 2018,-,-,17 Jan 2018,23 Jan 2018,-
536799,SRSFIN,SRS Finance Ltd,09 Feb 2018,stock  split from rs.10/- to rs.1/-,12 Feb 2018,-,-,05 Feb 2018,09 Feb 2018,-
512493,GARNETINT,GARNET INTERNATIONAL LTD.,06 Mar 2018,bonus issue 2:1,07 Mar 2018,-,-,27 Feb 2018,06 Mar 2018,-
539939,YASHCHEM,Yash Chemex Ltd,14 Mar 2018,bonus issue 3:2,15 Mar 2018,-,-,08 Mar 2018,14 Mar 2018,-
530965,IOC,INDIAN OIL CORPORATION LTD.,15 Mar 2018,bonus issue 1:1,17 Mar 2018,-,-,12 Mar 2018,15 Mar 2018,-
540394,JDML,Jash Dealmark Ltd,15 Mar 2018,bonus issue 1:1,17 Mar 2018,-,-,12 Mar 2018,15 Mar 2018,-
532240,INDNIPPON,INDIA NIPPON ELECTRICALS LTD.,21 Mar 2018,stock  split from rs.10/- to rs.5/-,22 Mar 2018,-,-,15 Mar 2018,21 Mar 2018,-
526947,LAOPALA,LA OPALA RG LTD.,22 Mar 2018,bonus issue 1:1,23 Mar 2018,-,-,16 Mar 2018,22 Mar 2018,-
502445,CITADEL,CITADEL REALTY AND DEVELOPERS LTD.,26 Mar 2018,bonus issue 1:1,27 Mar 2018,-,-,20 Mar 2018,26 Mar 2018,-
532155,GAIL,GAIL (INDIA) LTD.,27 Mar 2018,bonus issue 1:3,29 Mar 2018,-,-,22 Mar 2018,27 Mar 2018,-
519602,KELLTONTEC,Kellton Tech Solutions Ltd.,27 Mar 2018,bonus issue 1:1,29 Mar 2018,-,-,22 Mar 2018,27 Mar 2018,-
533106,OIL,OIL INDIA LTD.,27 Mar 2018,bonus issue 1:2,29 Mar 2018,-,-,22 Mar 2018,27 Mar 2018,-
503101,MARATHON,MARATHON NEXTGEN REALTY LTD.,05 Apr 2018,stock  split from rs.10/- to rs.5/-,06 Apr 2018,-,-,28 Mar 2018,05 Apr 2018,-
538731,POWERGYM,Powerhouse Gym & Wellness Ltd,10 Apr 2018,bonus issue 1:20,11 Apr 2018,-,-,04 Apr 2018,10 Apr 2018,-
540696,RUCHINDLTD,Ruchika Industries India Ltd,10 Apr 2018,stock  split from rs.10/- to rs.5/-,11 Apr 2018,-,-,04 Apr 2018,10 Apr 2018,-
590006,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,13 Apr 2018,stock  split from rs.2/- to rs.1/-,16 Apr 2018,-,-,09 Apr 2018,13 Apr 2018,-
539310,TISL,Think Ink Studio Ltd,17 Apr 2018,stock  split from rs.10/- to rs.1/-,18 Apr 2018,-,-,11 Apr 2018,17 Apr 2018,-
507552,FOODSIN,FOODS & INNS LTD.,19 Apr 2018,stock  split from rs.10/- to rs.1/-,20 Apr 2018,-,-,13 Apr 2018,19 Apr 2018,-
506590,PHILIPCARB,PHILLIPS CARBON BLACK LTD.,19 Apr 2018,stock  split from rs.10/- to rs.2/-,20 Apr 2018,-,-,13 Apr 2018,19 Apr 2018,-
539148,SHIVALIK,Shivalik Rasayan Ltd,19 Apr 2018,stock  split from rs.10/- to rs.5/-,20 Apr 2018,-,-,13 Apr 2018,19 Apr 2018,-
539148,SHIVALIK,Shivalik Rasayan Ltd,19 Apr 2018,bonus issue 1:4,20 Apr 2018,-,-,13 Apr 2018,19 Apr 2018,-
539620,AINFRA,A Infrastructure Ltd,20 Apr 2018,bonus issue 1:1,23 Apr 2018,-,-,16 Apr 2018,20 Apr 2018,-
539620,AINFRA,A Infrastructure Ltd,20 Apr 2018,stock  split from rs.10/- to rs.5/-,23 Apr 2018,-,-,16 Apr 2018,20 Apr 2018,-
534309,NBCC,NBCC (India) Ltd,25 Apr 2018,stock  split from rs.2/- to rs.1/-,26 Apr 2018,-,-,19 Apr 2018,25 Apr 2018,-
506373,CITURGIA,CITURGIA BIOCHEMICALS LTD.,26 Apr 2018,stock  split from rs.10/- to rs.2/-,30 Apr 2018,-,-,23 Apr 2018,26 Apr 2018,-
539686,KPEL,K.P. Energy Ltd,26 Apr 2018,bonus issue 3:10,01 May 2018,-,-,24 Apr 2018,26 Apr 2018,-
539428,TEJNAKSH,Tejnaksh Healthcare Ltd,26 Apr 2018,bonus issue 36:10,28 Apr 2018,-,-,23 Apr 2018,25 Apr 2018,-
513377,MMTC,MMTC LTD.,03 May 2018,bonus issue 1:2,04 May 2018,-,-,25 Apr 2018,03 May 2018,-
539837,RPEL,Raghav Productivity Enhancers Ltd,08 May 2018,bonus issue 2:5,09 May 2018,-,-,02 May 2018,08 May 2018,-
539228,GGPL,Gala Global Products Ltd,10 May 2018,stock  split from rs.10/- to rs.5/-,12 May 2018,-,-,07 May 2018,10 May 2018,-
539228,GGPL,Gala Global Products Ltd,10 May 2018,bonus issue 1:20,12 May 2018,-,-,07 May 2018,10 May 2018,-
522014,UNIDT,UNITED DRILLING TOOLS LTD.,10 May 2018,bonus issue 1:1,12 May 2018,-,-,07 May 2018,10 May 2018,-
507488,GMBREW,G.M.BREWERIES LTD.,21 May 2018,bonus issue 1:4,22 May 2018,-,-,15 May 2018,21 May 2018,-
501831,COASTCORP,COASTAL CORPORATION LTD.,23 May 2018,bonus issue 3:1,24 May 2018,-,-,17 May 2018,23 May 2018,-
532540,TCS,TATA CONSULTANCY SERVICES LTD.,31 May 2018,bonus issue 1:1,02 Jun 2018,-,-,28 May 2018,31 May 2018,-
502850,ZGAEKWAR,GAEKWAR MILLS LTD.,31 May 2018,stock  split from rs.100/- to rs.10/-,01 Jun 2018,-,-,25 May 2018,31 May 2018,-
511288,GRUH,GRUH FINANCE LTD.,06 Jun 2018,bonus issue 1:1,07 Jun 2018,-,-,31 May 2018,06 Jun 2018,-
532796,LUMAXTECH,LUMAX AUTO TECHNOLOGIES LTD.,07 Jun 2018,stock  split from rs.10/- to rs.2/-,08 Jun 2018,-,-,01 Jun 2018,07 Jun 2018,-
